Date,Open,High,Low,Close,Adj Close,Volume
30/06/2021,32,32.045452,31.81818,31.90909,31.04451,14452298
01/07/2021,31.90909,31.90909,31.81818,31.81818,30.956062,5448521
04/07/2021,,31.954544,31.81818,31.863636,31.000288,8335410
05/07/2021,31.81818,31.863636,31.727272,31.772726,30.91184,5355944
06/07/2021,31.772726,31.81818,31.681818,31.772726,30.91184,4323723
07/07/2021,31.727272,31.81818,31.636362,31.772726,30.91184,6504171
08/07/2021,31.681818,31.772726,31.636362,31.681818,30.823397,5338404
11/07/2021,31.681818,31.727272,31.454544,31.454544,30.60228,4609124
12/07/2021,31.454544,31.590908,31.272726,31.40909,30.558058,5459295
13/07/2021,31.454544,31.727272,31.40909,31.590908,30.734949,4633052
14/07/2021,31.545454,31.81818,31.545454,31.81818,30.956062,4594109
15/07/2021,31.727272,31.81818,31.636362,31.727272,30.867619,5234482
25/07/2021,31.727272,31.81818,31.636362,31.727272,30.867619,6867646
26/07/2021,-31.727272,31.772726,31.590908,31.590908,30.734949,2917119
27/07/2021,31.590908,31.636362,31.545454,31.545454,30.690727,4505263
28/07/2021,31.545454,31.727272,31.545454,31.727272,30.867619,3433191
29/07/2021,31.681818,31.727272,31.545454,-31.681818,30.823397,6257142
01/08/2021,31.636362,31.727272,31.590908,31.636362,30.779173,4053295
02/08/2021,31.590908,31.90909,31.590908,31.772726,30.91184,9863243
03/08/2021,31.772726,31.90909,31.681818,31.90909,31.04451,6391140
04/08/2021,31.81818,31.90909,31.727272,31.772726,30.91184,4713119
05/08/2021,31.772726,31.90909,31.681818,31.863636,31.000288,4358862
08/08/2021,31.81818,32.045452,31.772726,31.954544,31.088732,8135392
09/08/2021,31.90909,32,31.863636,31.954544,31.088732,5271655
10/08/2021,31.90909,32,31.863636,31.954544,31.088732,4559662
11/08/2021,31.954544,32.045452,31.90909,32.045452,31.177177,6824160
12/08/2021,32.045452,32.045452,31.954544,32,31.132956,4779967
15/08/2021,31.954544,32.181816,31.954544,32.136364,31.265625,7433387
16/08/2021,31.90909,31.90909,31.772726,31.81818,31.267231,7552174
17/08/2021,31.81818,32.045452,31.772726,32.045452,31.490568,10478451
18/08/2021,31.954544,32.045452,31.863636,31.863636,31.311901,4430239
19/08/2021,31.863636,31.954544,31.636362,31.772726,31.222565,4976830
22/08/2021,31.772726,31.772726,31.636362,31.727272,31.177898,2289189
23/08/2021,31.727272,31.772726,31.363636,31.363636,30.820557,4867967
24/08/2021,31.454544,31.636362,31.454544,31.636362,31.088562,2744333
25/08/2021,31.590908,31.681818,31.545454,31.636362,31.088562,2248970
26/08/2021,31.636362,31.681818,31.545454,31.681818,31.13323,1747416
29/08/2021,31.590908,31.772726,31.590908,31.727272,31.177898,1904609
30/08/2021,31.727272,31.863636,31.590908,31.863636,,5126359
31/08/2021,31.727272,31.954544,31.727272,31.954544,31.401234,8247149
01/09/2021,31.863636,31.90909,31.81818,31.81818,31.267231,3254111
02/09/2021,31.81818,31.90909,31.772726,31.90909,31.356567,2470942
05/09/2021,31.81818,31.954544,31.81818,31.90909,31.356567,3217843
